(2196, 474)#(474, 2498)#(2498, 1537)#(1537, 2329)#(2329, 148)#(148, 4260)#(4260, 4955)#(4955, 2124)#(2124, 111)#(111, 318)#(318, 51)#(51, 1198)#(1198, 846)
(560, 3417)#(3417, 148)#(148, 3089)#(3089, 3075)#(3075, 2036)#(2036, 3868)#(3868, 2095)#(2095, 331)#(331, 118)#(118, 3428)#(3428, 4570)#(4570, 1233)#(1233, 1202)#(1202, 1177)
(369, 2616)#(2616, 1920)#(1920, 1665)#(1665, 45)#(45, 256)#(256, 3629)#(3629, 66)#(66, 1633)#(1633, 70)#(70, 148)#(148, 3089)#(3089, 3771)#(3771, 2923)#(2923, 51)
(7, 10)#(10, 11)#(11, 22)#(22, 104)#(104, 112)#(112, 20)#(20, 40)#(40, 148)#(148, 151)#(151, 154)#(154, 159)#(159, 161)#(161, 162)#(162, 166)
(1591, 3171)#(3171, 1590)#(1590, 2639)#(2639, 1459)#(1459, 418)#(418, 148)#(148, 267)#(267, 2936)#(2936, 1332)#(1332, 2392)#(2392, 2055)#(2055, 2365)#(2365, 48)#(48, 4135)
(2064, 1590)#(1590, 1409)#(1409, 3338)#(3338, 2015)#(2015, 2044)#(2044, 1624)#(1624, 3448)#(3448, 2215)#(2215, 148)#(148, 1017)#(1017, 3978)#(3978, 479)#(479, 4901)#(4901, 4794)
(108, 2218)#(2218, 2044)#(2044, 3878)#(3878, 3446)#(3446, 1201)#(1201, 148)#(148, 3978)#(3978, 2540)#(2540, 2033)#(2033, 573)#(573, 1833)#(1833, 4882)#(4882, 3024)#(3024, 3807)
(261, 894)#(894, 1830)#(1830, 1245)#(1245, 3425)#(3425, 954)#(954, 2775)#(2775, 95)#(95, 148)#(148, 355)#(355, 4548)#(4548, 4627)#(4627, 3233)#(3233, 3807)#(3807, 3936)
(167, 3092)#(3092, 1591)#(1591, 1505)#(1505, 1176)#(1176, 148)#(148, 526)#(526, 355)#(355, 1175)#(1175, 1828)#(1828, 4215)#(4215, 4219)#(4219, 4355)#(4355, 2489)#(2489, 3807)
(1318, 1085)#(1085, 560)#(560, 1084)#(1084, 825)#(825, 2316)#(2316, 4798)#(4798, 262)#(262, 148)#(148, 2414)#(2414, 2635)#(2635, 3275)#(3275, 3868)#(3868, 1697)#(1697, 4973)
(2044, 2001)#(2001, 148)#(148, 3428)#(3428, 526)#(526, 1938)#(1938, 2876)#(2876, 4881)#(4881, 2242)#(2242, 4901)#(4901, 1152)#(1152, 112)#(112, 902)#(902, 1947)#(1947, 2679)
