(260, 1837)#(1837, 526)#(526, 2720)#(2720, 479)#(479, 2269)#(2269, 2621)#(2621, 2765)#(2765, 3182)#(3182, 808)#(808, 1696)#(1696, 81)#(81, 838)#(838, 2999)#(2999, 124)
(1231, 1567)#(1567, 2448)#(2448, 2697)#(2697, 4208)#(4208, 808)#(808, 898)#(898, 1847)#(1847, 1172)#(1172, 3601)#(3601, 1249)#(1249, 2715)#(2715, 3439)#(3439, 2705)#(2705, 3936)
(209, 731)#(731, 808)#(808, 1187)#(1187, 1286)#(1286, 3210)#(3210, 3957)#(3957, 4256)#(4256, 4865)#(4865, 270)#(270, 355)#(355, 2079)#(2079, 2587)#(2587, 2611)#(2611, 2740)
(1174, 1258)#(1258, 1993)#(1993, 3212)#(3212, 808)#(808, 896)#(896, 2850)#(2850, 3347)#(3347, 2122)#(2122, 260)#(260, 894)#(894, 1182)#(1182, 2999)#(2999, 1196)#(1196, 1213)
(33, 727)#(727, 770)#(770, 26)#(26, 37)#(37, 8)#(8, 699)#(699, 648)#(648, 93)#(93, 56)#(56, 808)#(808, 68)#(68, 787)#(787, 805)#(805, 831)
(260, 1837)#(1837, 526)#(526, 2720)#(2720, 479)#(479, 2269)#(2269, 2621)#(2621, 2765)#(2765, 3182)#(3182, 808)#(808, 1696)#(1696, 81)#(81, 838)#(838, 2999)#(2999, 124)
(1231, 1567)#(1567, 2448)#(2448, 2697)#(2697, 4208)#(4208, 808)#(808, 898)#(898, 1847)#(1847, 1172)#(1172, 3601)#(3601, 1249)#(1249, 2715)#(2715, 3439)#(3439, 2705)#(2705, 3936)
(209, 731)#(731, 808)#(808, 1187)#(1187, 1286)#(1286, 3210)#(3210, 3957)#(3957, 4256)#(4256, 4865)#(4865, 270)#(270, 355)#(355, 2079)#(2079, 2587)#(2587, 2611)#(2611, 2740)
(1174, 1258)#(1258, 1993)#(1993, 3212)#(3212, 808)#(808, 896)#(896, 2850)#(2850, 3347)#(3347, 2122)#(2122, 260)#(260, 894)#(894, 1182)#(1182, 2999)#(2999, 1196)#(1196, 1213)
(33, 727)#(727, 770)#(770, 26)#(26, 37)#(37, 8)#(8, 699)#(699, 648)#(648, 93)#(93, 56)#(56, 808)#(808, 68)#(68, 787)#(787, 805)#(805, 831)
(260, 1837)#(1837, 526)#(526, 2720)#(2720, 479)#(479, 2269)#(2269, 2621)#(2621, 2765)#(2765, 3182)#(3182, 808)#(808, 1696)#(1696, 81)#(81, 838)#(838, 2999)#(2999, 124)
(1231, 1567)#(1567, 2448)#(2448, 2697)#(2697, 4208)#(4208, 808)#(808, 898)#(898, 1847)#(1847, 1172)#(1172, 3601)#(3601, 1249)#(1249, 2715)#(2715, 3439)#(3439, 2705)#(2705, 3936)
(209, 731)#(731, 808)#(808, 1187)#(1187, 1286)#(1286, 3210)#(3210, 3957)#(3957, 4256)#(4256, 4865)#(4865, 270)#(270, 355)#(355, 2079)#(2079, 2587)#(2587, 2611)#(2611, 2740)
