(1071, 1245)#(1245, 1301)#(1301, 1664)#(1664, 4240)#(4240, 4719)#(4719, 26)#(26, 441)#(441, 898)#(898, 526)#(526, 2835)
(1172, 4240)#(4240, 4242)#(4242, 2296)#(2296, 112)#(112, 1245)#(1245, 3889)#(3889, 4135)#(4135, 2247)#(2247, 983)#(983, 3667)#(3667, 4623)#(4623, 4601)#(4601, 4588)#(4588, 4590)
(350, 1245)#(1245, 2121)#(2121, 3867)#(3867, 4240)#(4240, 4920)#(4920, 590)#(590, 989)#(989, 1205)#(1205, 3366)#(3366, 4921)#(4921, 4934)#(4934, 4988)#(4988, 612)#(612, 1167)
(332, 526)#(526, 2180)#(2180, 4240)#(4240, 1174)#(1174, 2373)#(2373, 1664)#(1664, 4586)#(4586, 898)#(898, 3385)#(3385, 590)#(590, 846)#(846, 909)#(909, 1198)#(1198, 1183)
(1172, 1209)#(1209, 3614)#(3614, 1175)#(1175, 890)#(890, 1942)#(1942, 1159)#(1159, 479)#(479, 3836)#(3836, 4240)#(4240, 1813)#(1813, 592)#(592, 1587)#(1587, 3914)#(3914, 2)
(888, 3754)#(3754, 1567)#(1567, 3105)#(3105, 3089)#(3089, 3596)#(3596, 1078)#(1078, 1880)#(1880, 4240)#(4240, 260)#(260, 4794)#(4794, 4881)#(4881, 4903)#(4903, 4804)#(4804, 4871)
(111, 418)#(418, 145)#(145, 2445)#(2445, 846)#(846, 898)#(898, 993)#(993, 2073)#(2073, 2205)#(2205, 3995)#(3995, 4240)#(4240, 3876)#(3876, 3943)#(3943, 3233)#(3233, 3821)
(583, 846)#(846, 2163)#(2163, 954)#(954, 1176)#(1176, 4240)#(4240, 111)#(111, 2341)#(2341, 1078)#(1078, 1655)#(1655, 2984)#(2984, 3827)#(3827, 3275)#(3275, 1267)#(1267, 86)
(1176, 1172)#(1172, 4240)#(4240, 272)#(272, 3971)#(3971, 1078)#(1078, 2024)#(2024, 4935)#(4935, 1003)#(1003, 1538)#(1538, 2419)#(2419, 2546)#(2546, 3778)#(3778, 1930)#(1930, 4230)
(590, 699)#(699, 4200)#(4200, 1012)#(1012, 1542)#(1542, 2763)#(2763, 4262)#(4262, 4263)#(4263, 4260)#(4260, 4241)#(4241, 4231)#(4231, 4240)#(4240, 4227)#(4227, 4230)#(4230, 4215)
(1880, 1887)#(1887, 3023)#(3023, 1185)#(1185, 3169)#(3169, 4215)#(4215, 4242)#(4242, 4248)#(4248, 4235)#(4235, 4240)#(4240, 4202)#(4202, 4200)#(4200, 2)#(2, 1251)#(1251, 3278)
(526, 1366)#(1366, 4240)#(4240, 105)#(105, 1176)#(1176, 2387)#(2387, 3803)#(3803, 4319)#(4319, 888)#(888, 3024)#(3024, 899)#(899, 908)#(908, 928)#(928, 1227)#(1227, 1567)
(336, 590)#(590, 997)#(997, 2687)#(2687, 4241)#(4241, 4217)#(4217, 4265)#(4265, 4266)#(4266, 4268)#(4268, 4270)#(4270, 4252)#(4252, 4253)#(4253, 4260)#(4260, 4242)#(4242, 4240)
(1003, 1374)#(1374, 2289)#(2289, 3017)#(3017, 4240)#(4240, 1160)#(1160, 1567)#(1567, 1736)#(1736, 1904)#(1904, 3754)#(3754, 4901)#(4901, 4903)#(4903, 4804)#(4804, 4809)#(4809, 4797)
(2547, 1887)#(1887, 4240)#(4240, 282)#(282, 1942)#(1942, 4622)#(4622, 4609)#(4609, 4612)#(4612, 4588)#(4588, 4570)#(4570, 4563)#(4563, 4548)#(4548, 4552)#(4552, 4532)#(4532, 4135)
(318, 888)#(888, 3566)#(3566, 1942)#(1942, 2988)#(2988, 3807)#(3807, 3821)#(3821, 3943)#(3943, 3233)#(3233, 3927)#(3927, 3864)#(3864, 4270)#(4270, 4235)#(4235, 4236)#(4236, 4240)
(1071, 1245)#(1245, 1301)#(1301, 1664)#(1664, 4240)#(4240, 4719)#(4719, 26)#(26, 441)#(441, 898)#(898, 526)#(526, 2835)
(1172, 4240)#(4240, 4242)#(4242, 2296)#(2296, 112)#(112, 1245)#(1245, 3889)#(3889, 4135)#(4135, 2247)#(2247, 983)#(983, 3667)#(3667, 4623)#(4623, 4601)#(4601, 4588)#(4588, 4590)
(350, 1245)#(1245, 2121)#(2121, 3867)#(3867, 4240)#(4240, 4920)#(4920, 590)#(590, 989)#(989, 1205)#(1205, 3366)#(3366, 4921)#(4921, 4934)#(4934, 4988)#(4988, 612)#(612, 1167)
(332, 526)#(526, 2180)#(2180, 4240)#(4240, 1174)#(1174, 2373)#(2373, 1664)#(1664, 4586)#(4586, 898)#(898, 3385)#(3385, 590)#(590, 846)#(846, 909)#(909, 1198)#(1198, 1183)
