(1826, 1828)#(1828, 1842)#(1842, 1837)#(1837, 1757)#(1757, 1830)#(1830, 1836)#(1836, 1795)#(1795, 1800)#(1800, 1801)#(1801, 1233)#(1233, 1312)#(1312, 406)#(406, 1377)#(1377, 1694)
(3536, 381)#(381, 24)#(24, 668)#(668, 2838)#(2838, 4116)#(4116, 1694)#(1694, 1780)#(1780, 2865)#(2865, 2385)#(2385, 3547)#(3547, 3165)#(3165, 189)#(189, 2775)#(2775, 540)
(1187, 1538)#(1538, 1694)#(1694, 3023)#(3023, 260)#(260, 1015)#(1015, 1174)#(1174, 2489)#(2489, 910)#(910, 1191)#(1191, 1215)#(1215, 3705)#(3705, 731)#(731, 1929)#(1929, 3091)
(35, 1398)#(1398, 1664)#(1664, 888)#(888, 896)#(896, 1694)#(1694, 2341)#(2341, 910)#(910, 1270)#(1270, 2031)#(2031, 2230)#(2230, 2270)#(2270, 2835)#(2835, 1065)#(1065, 1206)
(441, 189)#(189, 1694)#(1694, 2086)#(2086, 3029)#(3029, 2968)#(2968, 2627)#(2627, 2624)#(2624, 2498)#(2498, 2459)#(2459, 2518)#(2518, 2423)#(2423, 2523)#(2523, 1368)#(1368, 260)
(1837, 1842)#(1842, 1947)#(1947, 1786)#(1786, 1830)#(1830, 2026)#(2026, 1703)#(1703, 1711)#(1711, 1692)#(1692, 1715)#(1715, 1691)#(1691, 1694)#(1694, 1601)#(1601, 1775)#(1775, 2)
(1187, 1694)#(1694, 1947)#(1947, 1567)#(1567, 2043)#(2043, 1245)#(1245, 3439)#(3439, 2423)#(2423, 296)#(296, 1176)#(1176, 2179)#(2179, 540)#(540, 1223)#(1223, 1227)#(1227, 1317)
(856, 1694)#(1694, 1836)#(1836, 1887)#(1887, 2431)#(2431, 2646)#(2646, 3536)#(3536, 3538)#(3538, 3632)#(3632, 3663)#(3663, 3697)#(3697, 3535)#(3535, 3527)#(3527, 3664)#(3664, 3695)
(1574, 1664)#(1664, 1611)#(1611, 1540)#(1540, 1537)#(1537, 1669)#(1669, 1603)#(1603, 1636)#(1636, 1539)#(1539, 1472)#(1472, 1038)#(1038, 1386)#(1386, 1694)#(1694, 1377)#(1377, 1406)
(556, 614)#(614, 938)#(938, 1021)#(1021, 1694)#(1694, 1880)#(1880, 3106)#(3106, 3754)#(3754, 4138)#(4138, 1016)#(1016, 1187)#(1187, 1360)#(1360, 1429)#(1429, 1658)#(1658, 2108)
(45, 354)#(354, 2004)#(2004, 4276)#(4276, 1518)#(1518, 2637)#(2637, 1694)#(1694, 296)#(296, 768)#(768, 4881)#(4881, 2727)#(2727, 1916)#(1916, 2574)#(2574, 2679)#(2679, 910)
(1697, 1535)#(1535, 1574)#(1574, 1694)#(1694, 1564)#(1564, 1331)#(1331, 318)#(318, 37)#(37, 526)#(526, 590)#(590, 111)#(111, 25)#(25, 296)#(296, 246)#(246, 605)
(1694, 1722)#(1722, 1942)#(1942, 590)#(590, 2885)#(2885, 1887)#(1887, 1960)#(1960, 2196)#(2196, 724)#(724, 906)#(906, 4411)#(4411, 4454)#(4454, 4893)#(4893, 4894)#(4894, 4901)
(1104, 1187)#(1187, 3230)#(3230, 894)#(894, 1694)#(1694, 2589)#(2589, 3063)#(3063, 3072)#(3072, 3089)#(3089, 884)#(884, 898)#(898, 900)#(900, 885)#(885, 955)#(955, 914)
(189, 1196)#(1196, 1321)#(1321, 1359)#(1359, 1320)#(1320, 1323)#(1323, 1591)#(1591, 715)#(715, 1192)#(1192, 1312)#(1312, 1377)#(1377, 1694)#(1694, 1636)#(1636, 13)#(13, 260)
