(2431, 1611)#(1611, 2285)#(2285, 610)#(610, 1670)#(1670, 2264)#(2264, 3845)#(3845, 898)#(898, 2917)#(2917, 3416)#(3416, 2876)#(2876, 4901)
(303, 888)#(888, 1309)#(1309, 526)#(526, 1494)#(1494, 2186)#(2186, 3894)#(3894, 3868)#(3868, 3873)#(3873, 3845)#(3845, 3839)#(3839, 3840)#(3840, 3842)#(3842, 3831)#(3831, 3833)
(1837, 1880)#(1880, 2523)#(2523, 898)#(898, 2783)#(2783, 3395)#(3395, 3423)#(3423, 3536)#(3536, 3216)#(3216, 3782)#(3782, 3845)#(3845, 909)#(909, 1158)#(1158, 3549)#(3549, 3723)
(1664, 898)#(898, 590)#(590, 1128)#(1128, 889)#(889, 3821)#(3821, 1244)#(1244, 1259)#(1259, 2775)#(2775, 3839)#(3839, 3845)#(3845, 656)#(656, 1884)#(1884, 2079)#(2079, 1019)
(939, 1172)#(1172, 1447)#(1447, 1777)#(1777, 3539)#(3539, 3886)#(3886, 3888)#(3888, 3889)#(3889, 3890)#(3890, 3892)#(3892, 3875)#(3875, 3868)#(3868, 3870)#(3870, 3845)#(3845, 3839)
(1664, 2723)#(2723, 369)#(369, 2546)#(2546, 1174)#(1174, 2234)#(2234, 3845)#(3845, 1128)#(1128, 735)#(735, 2775)#(2775, 3963)#(3963, 3664)#(3664, 3876)#(3876, 3536)#(3536, 3663)
(252, 526)#(526, 1032)#(1032, 898)#(898, 3893)#(3893, 3857)#(3857, 3845)#(3845, 3805)#(3805, 1167)#(1167, 1491)#(1491, 2775)#(2775, 2914)#(2914, 1587)#(1587, 2277)#(2277, 2313)
(900, 3163)#(3163, 610)#(610, 3527)#(3527, 1338)#(1338, 14)#(14, 4678)#(4678, 3845)#(3845, 318)#(318, 890)#(890, 1172)#(1172, 1184)#(1184, 1190)#(1190, 590)#(590, 1175)
(1176, 1497)#(1497, 894)#(894, 2499)#(2499, 898)#(898, 3845)#(3845, 3781)#(3781, 3782)#(3782, 3754)#(3754, 2490)#(2490, 2623)#(2623, 2775)#(2775, 2600)#(2600, 2921)#(2921, 2627)
(995, 3175)#(3175, 72)#(72, 1187)#(1187, 1757)#(1757, 2711)#(2711, 3312)#(3312, 3919)#(3919, 3897)#(3897, 3855)#(3855, 3857)#(3857, 3845)#(3845, 1174)#(1174, 1176)#(1176, 260)
(3580, 4242)#(4242, 3460)#(3460, 4033)#(4033, 3840)#(3840, 717)#(717, 3845)#(3845, 899)#(899, 954)#(954, 1244)#(1244, 382)#(382, 1105)#(1105, 2209)#(2209, 1409)#(1409, 4104)
(2634, 1664)#(1664, 1269)#(1269, 1942)#(1942, 1206)#(1206, 3911)#(3911, 3886)#(3886, 3887)#(3887, 3876)#(3876, 3845)#(3845, 3011)#(3011, 74)#(74, 3382)#(3382, 526)#(526, 894)
(379, 1176)#(1176, 836)#(836, 260)#(260, 1330)#(1330, 3893)#(3893, 3861)#(3861, 3845)#(3845, 3836)#(3836, 3837)#(3837, 3840)#(3840, 3844)#(3844, 905)#(905, 1174)#(1174, 1182)
(260, 1187)#(1187, 4552)#(4552, 4844)#(4844, 1535)#(1535, 4474)#(4474, 1172)#(1172, 3845)#(3845, 4524)#(4524, 4213)#(4213, 1664)#(1664, 2314)#(2314, 1222)#(1222, 376)#(376, 355)
