(2864, 2254)#(2254, 1921)#(1921, 920)#(920, 4408)#(4408, 573)#(573, 2551)#(2551, 3097)#(3097, 4129)#(4129, 1152)#(1152, 1819)#(1819, 846)#(846, 318)#(318, 526)
(479, 826)#(826, 1965)#(1965, 2028)#(2028, 1175)#(1175, 1206)#(1206, 1819)#(1819, 306)#(306, 2419)#(2419, 2599)#(2599, 296)#(296, 1583)#(1583, 2242)#(2242, 2493)#(2493, 2775)
(2679, 2687)#(2687, 2680)#(2680, 2641)#(2641, 2823)#(2823, 1819)#(1819, 2275)#(2275, 2314)#(2314, 2361)#(2361, 2419)#(2419, 2489)#(2489, 2528)#(2528, 2417)#(2417, 2501)#(2501, 2457)
(526, 2788)#(2788, 756)#(756, 895)#(895, 898)#(898, 1078)#(1078, 1281)#(1281, 4268)#(4268, 2680)#(2680, 23)#(23, 1545)#(1545, 693)#(693, 1819)#(1819, 4494)#(4494, 1211)
(1757, 1758)#(1758, 1802)#(1802, 1816)#(1816, 1819)#(1819, 1826)#(1826, 1828)#(1828, 1842)#(1842, 1925)#(1925, 1947)#(1947, 1786)#(1786, 1792)#(1792, 1799)#(1799, 1814)#(1814, 1817)
(2415, 4902)#(4902, 2922)#(2922, 2015)#(2015, 1472)#(1472, 971)#(971, 3365)#(3365, 1830)#(1830, 1664)#(1664, 1826)#(1826, 1819)#(1819, 4804)#(4804, 3820)#(3820, 2678)#(2678, 3932)
(1811, 1812)#(1812, 1813)#(1813, 1816)#(1816, 1831)#(1831, 1842)#(1842, 1925)#(1925, 1947)#(1947, 2086)#(2086, 2194)#(2194, 1819)#(1819, 1820)#(1820, 1823)#(1823, 1835)#(1835, 1840)
(2617, 2642)#(2642, 2679)#(2679, 2761)#(2761, 2619)#(2619, 2691)#(2691, 2627)#(2627, 2747)#(2747, 2629)#(2629, 2676)#(2676, 2638)#(2638, 2489)#(2489, 2517)#(2517, 1819)#(1819, 2399)
(1876, 999)#(999, 4765)#(4765, 261)#(261, 2312)#(2312, 702)#(702, 420)#(420, 903)#(903, 1976)#(1976, 4677)#(4677, 1019)#(1019, 939)#(939, 1184)#(1184, 1819)
(2679, 2687)#(2687, 2777)#(2777, 2876)#(2876, 2757)#(2757, 2824)#(2824, 2912)#(2912, 2723)#(2723, 2746)#(2746, 1819)#(1819, 2314)#(2314, 2420)#(2420, 2460)#(2460, 2489)#(2489, 2490)
(1664, 2093)#(2093, 583)#(583, 2043)#(2043, 4950)#(4950, 1172)#(1172, 2040)#(2040, 111)#(111, 1819)#(1819, 3428)#(3428, 4333)#(4333, 33)#(33, 1828)#(1828, 1191)#(1191, 1215)
(1245, 479)#(479, 112)#(112, 1253)#(1253, 1887)#(1887, 1819)#(1819, 2242)#(2242, 2275)#(2275, 2314)#(2314, 2419)#(2419, 2360)#(2360, 2493)#(2493, 2424)#(2424, 2528)#(2528, 2538)
